available,chartable,confidence,coverage_count,daily_series_available,display_name,error_code,error_message,error_subcode,fbtrace_id,field,latest_value,metric,metric_or_field,notes,period,post_id,raw_response,raw_sum,raw_values,reason,recommended_slide_use,sample_value,section,status,status_code,supports_daily_series,supports_total_over_range,total_available,value_type,values_count,video_id
True,,,,,,,,,,id,,,,,,,"{""id"": ""434205256738068""}",,,,,434205256738068,page_fields,,200,,,,str,,
True,,,,,,,,,,name,,,,,,,"{""name"": ""1111 Day & Night"", ""id"": ""434205256738068""}",,,,,1111 Day & Night,page_fields,,200,,,,str,,
True,,,,,,,,,,username,,,,,,,"{""username"": ""1111daynight"", ""id"": ""434205256738068""}",,,,,1111daynight,page_fields,,200,,,,str,,
True,,,,,,,,,,about,,,,,,,"{""about"": ""#Litros & Snacks en Mitras Centro🍹\n¡Hamburguesas, Litros, Boneless & más! 🍔\nVisitanos esta semana 🙌"", ""id"": ""434205256738068""}",,,,,"#Litros & Snacks en Mitras Centro🍹
¡Hamburguesas, Litros, Boneless & más! 🍔
Visitanos esta semana 🙌",page_fields,,200,,,,str,,
True,,,,,,,,,,category,,,,,,,"{""category"": ""Pub"", ""id"": ""434205256738068""}",,,,,Pub,page_fields,,200,,,,str,,
True,,,,,,,,,,category_list,,,,,,,"{""category_list"": [{""id"": ""218693881483234"", ""name"": ""Pub""}], ""id"": ""434205256738068""}",,,,,"[{""id"": ""218693881483234"", ""name"": ""Pub""}]",page_fields,,200,,,,list,,
True,,,,,,,,,,link,,,,,,,"{""link"": ""https://www.facebook.com/434205256738068"", ""id"": ""434205256738068""}",,,,,https://www.facebook.com/434205256738068,page_fields,,200,,,,str,,
True,,,,,,,,,,website,,,,,,,"{""website"": ""http://www.1111daynight.com/"", ""id"": ""434205256738068""}",,,,,http://www.1111daynight.com/,page_fields,,200,,,,str,,
True,,,,,,,,,,phone,,,,,,,"{""phone"": ""+528116008040"", ""id"": ""434205256738068""}",,,,,+528116008040,page_fields,,200,,,,str,,
False,,,,,,,,,,emails,,,,,,,"{""id"": ""434205256738068""}",,,,,,page_fields,,200,,,,null,,
True,,,,,,,,,,location,,,,,,,"{""location"": {""city"": ""Monterrey"", ""country"": ""Mexico"", ""latitude"": 25.687973986, ""longitude"": -100.34448898078, ""street"": ""Av. Simón Bolívar 1111, Mitras Centro"", ""zip"": ""64460""}, ""id"": ""434205256738068""}",,,,,"{""city"": ""Monterrey"", ""country"": ""Mexico"", ""latitude"": 25.687973986, ""longitude"": -100.34448898078, ""street"": ""Av. Simón Bolívar 1111, Mitras Centro"", ""zip"": ""64460""}",page_fields,,200,,,,dict,,
True,,,,,,,,,,hours,,,,,,,"{""hours"": {""tue_1_open"": ""13:00"", ""tue_1_close"": ""00:00"", ""wed_1_open"": ""13:00"", ""wed_1_close"": ""00:00"", ""thu_1_open"": ""13:00"", ""thu_1_close"": ""01:00"", ""fri_1_open"": ""13:00"", ""fri_1_close"": ""02:00"", ""sat_1_open"": ""13:00"", ""sat_1_close"": ""06:00"", ""sun_1_open"": ""13:00"", ""sun_1_close"": ""23:30""}, ""id"": ""434205256738068""}",,,,,"{""tue_1_open"": ""13:00"", ""tue_1_close"": ""00:00"", ""wed_1_open"": ""13:00"", ""wed_1_close"": ""00:00"", ""thu_1_open"": ""13:00"", ""thu_1_close"": ""01:00"", ""fri_1_open"": ""13:00"", ""fri_1_close"": ""02:00"", ""sat_1_open"": ""13:00"", ""sat_1_close"": ""06:00"", ""sun_1_open"": ""13:00"", ""sun_1_close"": ""23:30""}",page_fields,,200,,,,dict,,
