provider,integration_id,db_provider,record_type,status,token_present,token_decrypt_ok,asset_count,asset_ids,asset_names,endpoint_type,metric_name,status_code,availability_status,error_code,error_message,reason,missing,raw_available,sample_value
facebook_pages,1,meta,facebook_page,connected,True,True,1,"[""fb-1""]","[""Botanero FB""]",page_fields,followers_count,200,available,,"{'followers_count': 321, 'fan_count': 123}",Metric is available.,[],True,321
facebook_pages,1,meta,facebook_page,connected,True,True,1,"[""fb-1""]","[""Botanero FB""]",page_fields,fan_count,200,available,,"{'followers_count': 321, 'fan_count': 123}",Metric is available.,[],True,123
facebook_pages,1,meta,facebook_page,connected,True,True,1,"[""fb-1""]","[""Botanero FB""]",page_insights,page_posts_impressions_organic,200,available,,"{'data': [{'name': 'page_posts_impressions_organic', 'values': [{'value': 10187}]}]}",Metric is available.,[],True,10187
facebook_pages,1,meta,facebook_page,connected,True,True,1,"[""fb-1""]","[""Botanero FB""]",page_insights,page_post_engagements,400,invalid_metric,100,Invalid metric,Meta rejected page_post_engagements as invalid for this asset.,[],False,[]
facebook_pages,1,meta,facebook_page,connected,True,True,1,"[""fb-1""]","[""Botanero FB""]",page_insights,page_actions_post_reactions_total,403,missing_permission,10,Permissions error,Permission is missing for page_actions_post_reactions_total.,[],False,[]
facebook_pages,1,meta,facebook_page,connected,True,True,1,"[""fb-1""]","[""Botanero FB""]",page_insights,page_views_total,200,available,,"{'data': [{'name': 'page_views_total', 'values': [{'value': 42}]}]}",Metric is available.,[],True,42
instagram_business,1,meta,instagram_account,connected,False,False,0,[],[],config,,,config_missing,,,"OAuth config is incomplete: INSTAGRAM_APP_ID, INSTAGRAM_APP_SECRET, INSTAGRAM_REDIRECT_URI.","[""INSTAGRAM_APP_ID"", ""INSTAGRAM_APP_SECRET"", ""INSTAGRAM_REDIRECT_URI""]",,
instagram_business,1,meta,instagram_account,connected,True,True,1,"[""ig-1""]","[""botaneroig""]",account_insights,reach,404,unexpected_error,404,Not found,Meta returned an unexpected error.,[],False,[]
instagram_business,1,meta,instagram_account,connected,True,True,1,"[""ig-1""]","[""botaneroig""]",account_insights,views,404,unexpected_error,404,Not found,Meta returned an unexpected error.,[],False,[]
instagram_business,1,meta,instagram_account,connected,True,True,1,"[""ig-1""]","[""botaneroig""]",account_insights,profile_views,404,unexpected_error,404,Not found,Meta returned an unexpected error.,[],False,[]
instagram_business,1,meta,instagram_account,connected,True,True,1,"[""ig-1""]","[""botaneroig""]",account_insights,website_clicks,404,unexpected_error,404,Not found,Meta returned an unexpected error.,[],False,[]
instagram_business,1,meta,instagram_account,connected,True,True,1,"[""ig-1""]","[""botaneroig""]",account_insights,accounts_engaged,404,unexpected_error,404,Not found,Meta returned an unexpected error.,[],False,[]
instagram_business,1,meta,instagram_account,connected,True,True,1,"[""ig-1""]","[""botaneroig""]",account_insights,total_interactions,404,unexpected_error,404,Not found,Meta returned an unexpected error.,[],False,[]
meta_ads,2,meta_ads,,connected,True,True,0,[],[],ad_accounts,,,no_assets,,,No authorized assets were found for this provider.,[],,
